,season,team_api_id,players
0,2008/2009,10260,"[34944.0, 40961.0, 30726.0, 67850.0, 30865.0, 30615.0, 30362.0, 30620.0, 37150.0, 38817.0, 30373.0, 27430.0, 113836.0, 30893.0, 30645.0, 32569.0, 35906.0, 165709.0, 30802.0, 38994.0, 24148.0, 24147.0, 24150.0, 24154.0, 24156.0, 30829.0, 43248.0, 40945.0]"
1,2009/2010,10260,"[34944.0, 40961.0, 30726.0, 67850.0, 30865.0, 30615.0, 30362.0, 30619.0, 30620.0, 30373.0, 27430.0, 32569.0, 35906.0, 165709.0, 38994.0, 24147.0, 24148.0, 30802.0, 24150.0, 24154.0, 24156.0, 30829.0, 43248.0, 40945.0, 35327.0]"
2,2010/2011,10260,"[34944.0, 40961.0, 30726.0, 70409.0, 30865.0, 30615.0, 30362.0, 30619.0, 30620.0, 39968.0, 150176.0, 30373.0, 27430.0, 32569.0, 165823.0, 35906.0, 165709.0, 38994.0, 30802.0, 24148.0, 24150.0, 24154.0, 24156.0, 30829.0, 43248.0, 40945.0, 35327.0]"
3,2011/2012,10260,"[34944.0, 40961.0, 182917.0, 70409.0, 30865.0, 186137.0, 30620.0, 150176.0, 30373.0, 27430.0, 113836.0, 32569.0, 23354.0, 165823.0, 26818.0, 160713.0, 30802.0, 38994.0, 24148.0, 24154.0, 30829.0, 43248.0, 40945.0, 35327.0]"
4,2012/2013,10260,"[34944.0, 40961.0, 182917.0, 70409.0, 30865.0, 186137.0, 30620.0, 118434.0, 30373.0, 113836.0, 32569.0, 23354.0, 165823.0, 26818.0, 160713.0, 38994.0, 24148.0, 24154.0, 144993.0, 30829.0, 43248.0, 40945.0, 30843.0, 35327.0]"
5,2013/2014,10260,"[34944.0, 182917.0, 70409.0, 30865.0, 186137.0, 30620.0, 118434.0, 113836.0, 32569.0, 23354.0, 165823.0, 39618.0, 26818.0, 160713.0, 38994.0, 24148.0, 449241.0, 24154.0, 144993.0, 30829.0, 43248.0, 40945.0, 30843.0, 41468.0, 35327.0]"
6,2014/2015,10260,"[34944.0, 182917.0, 161035.0, 22543.0, 32657.0, 186137.0, 575780.0, 46509.0, 501040.0, 23354.0, 165823.0, 39618.0, 164676.0, 362694.0, 160713.0, 38994.0, 24148.0, 449241.0, 30829.0, 43248.0, 161012.0, 30843.0, 41468.0, 35327.0]"
7,2015/2016,10260,"[34944.0, 109060.0, 182917.0, 161035.0, 693138.0, 30872.0, 186137.0, 575780.0, 46893.0, 696365.0, 23354.0, 165823.0, 39618.0, 164676.0, 362694.0, 465614.0, 299215.0, 303824.0, 639058.0, 449241.0, 46820.0, 30829.0, 161012.0, 413557.0, 41468.0, 35327.0]"
8,2008/2009,9825,"[39297.0, 23686.0, 30986.0, 27277.0, 30613.0, 30616.0, 31013.0, 78513.0, 38835.0, 36410.0, 31291.0, 3520.0, 26181.0, 75342.0, 30935.0, 75489.0, 105826.0, 30831.0, 30960.0, 30843.0, 30973.0, 23678.0, 26111.0]"
9,2009/2010,9825,"[39297.0, 23686.0, 27277.0, 187668.0, 26005.0, 30613.0, 30616.0, 63520.0, 31013.0, 78513.0, 38835.0, 36410.0, 31291.0, 3520.0, 26181.0, 31435.0, 75342.0, 30935.0, 75489.0, 41704.0, 37233.0, 34418.0, 30843.0, 30973.0, 23678.0, 26111.0]"
